time_interval,cpu_utilization,vm_count,time_index
0,0.13041934289059276,100,0
300,0.135498999855664,100,1
600,0.13411790381541747,100,2
900,0.13135350261454737,100,3
1200,0.1308884884308336,99,4
1500,0.12070570305467827,99,5
1800,0.12660067802174615,98,6
2100,0.11931658692484166,98,7
2400,0.12775546425313805,98,8
2700,0.12350340627317687,98,9
3000,0.12220913980778306,98,10
3300,0.12135065011069392,98,11
3600,0.11763690926902437,98,12
3900,0.11677378573651744,98,13
4200,0.12247669505981555,98,14
4500,0.1238590005901921,98,15
4800,0.12030632142293923,98,16
5100,0.12218875586843955,98,17
5400,0.12113869332311965,98,18
5700,0.11795971617529777,98,19
6000,0.11335661827458506,98,20
6300,0.11073865810740743,98,21
6600,0.11896755958625661,98,22
6900,0.11406313147819341,98,23
7200,0.12381119995778642,98,24
7500,0.1317617946783728,98,25
7800,0.12501545197330793,98,26
8100,0.12483626285734901,98,27
8400,0.11722952815124338,98,28
8700,0.12022987781859983,98,29
9000,0.1183944704998801,98,30
9300,0.11832377690871436,98,31
9600,0.12171708381157402,98,32
9900,0.12858464920927493,98,33
10200,0.11124703373181329,98,34
10500,0.11333307912805551,98,35
10800,0.12672937423419164,98,36
11100,0.13024806788455115,98,37
11400,0.12298923556250817,98,38
11700,0.11759606090347498,98,39
12000,0.11939139839895928,98,40
12300,0.1228566985467931,98,41
12600,0.11563310100557284,98,42
12900,0.11892736140630289,97,43
13200,0.11652936604742564,97,44
13500,0.11895797076207144,97,45
13800,0.1194069486543878,97,46
14100,0.12361185042715267,97,47
14400,0.14150681178955773,97,48
14700,0.13909505457244067,97,49
15000,0.12403430353614678,97,50
15300,0.11684230103393128,97,51
15600,0.12377237444703329,97,52
15900,0.1280499350935459,97,53
16200,0.12357237193949258,97,54
16500,0.128844651001097,97,55
16800,0.12627762386951716,97,56
17100,0.13576319173431645,97,57
17400,0.13479648141726955,97,58
17700,0.13713350692887621,97,59
18000,0.13014787165089317,97,60
18300,0.12430314596671195,97,61
18600,0.12779780932337698,97,62
18900,0.12318687809890012,97,63
19200,0.12316765955112921,97,64
19500,0.1369945767405389,97,65
19800,0.1386365733562314,97,66
20100,0.13502867307687255,97,67
20400,0.1344011439487864,97,68
20700,0.13485607034202468,97,69
21000,0.13711627656822942,97,70
21300,0.12653675667429254,97,71
21600,0.1289972381393549,97,72
21900,0.12655787791294865,97,73
22200,0.1259969463196579,97,74
22500,0.11768116788498872,97,75
22800,0.11930516875747742,97,76
23100,0.117292175839184,97,77
23400,0.12020782611531484,97,78
23700,0.1309294704971219,97,79
24000,0.1299275549912575,97,80
24300,0.12415113792319353,97,81
24600,0.1258912675032911,97,82
24900,0.1394813333129451,97,83
25200,0.13648228999218529,97,84
25500,0.12367538355956083,97,85
25800,0.1280580663857202,97,86
26100,0.12159248926110282,97,87
26400,0.12979336029281544,97,88
26700,0.13324551904813609,97,89
27000,0.1253579920692513,97,90
27300,0.12423282602790565,97,91
27600,0.1311237699217713,97,92
27900,0.1241281162792408,97,93
28200,0.1161509769881444,97,94
28500,0.12491199168371607,97,95
28800,0.14070132712304226,97,96
29100,0.13554709308509233,97,97
29400,0.12208517001302661,97,98
29700,0.1161012310068175,97,99
30000,0.11848598402499573,97,100
30300,0.12350917485140805,97,101
30600,0.12002253437607636,97,102
30900,0.12249360116727914,97,103
31200,0.12518156194905275,97,104
31500,0.1213683086573044,97,105
31800,0.11602442782337795,97,106
32100,0.11964498658254448,97,107
32400,0.11834050877763005,97,108
32700,0.12059930506926682,96,109
33000,0.1153212111557776,96,110
33300,0.11079761378473257,96,111
33600,0.10916199703114161,96,112
33900,0.10772712596672213,96,113
34200,0.10554980264765257,96,114
34500,0.109076324891774,96,115
34800,0.1107543407102913,96,116
35100,0.10848098830831114,96,117
35400,0.11089287401583738,96,118
35700,0.11171225522052845,96,119
36000,0.11512893909448962,96,120
36300,0.11794641460911341,96,121
36600,0.11591313183488337,96,122
36900,0.11614642181330362,96,123
37200,0.12217904971972918,95,124
37500,0.1174545980158314,95,125
37800,0.11427518173002434,95,126
38100,0.1152195918895106,95,127
38400,0.12584025263295653,95,128
38700,0.12735917483596368,95,129
39000,0.11118564049647611,95,130
39300,0.11457013875998523,95,131
39600,0.11068293043360881,95,132
